code	species	pigment	Fe_I	Tb_I	Mt_I	Ta_I	Fe_II	Tb_II	Mt_II	Ta_II	Fe_III	Tb_III	Mt_III	Ta_III	Fe_IV	Tb_IV	Mt_IV	Ta_IV	Post_LINE	Ant_LINE	AME	ALE	PME	PLE	WIDTH	HEIGHT	CLIPEO	CEPH_REG	Sterno_L	Sterno_W	PATURON	TOOTH	FANG
1	achillis	0	2,27	2,53	2,19	1,39	2,28	2,50	2,13	1,31	1,97	1,89	1,74	0,98	2,26	2,53	2,16	1,22	0,41	0,36	0,03	0,06	0,06	0,06	1,14	0,43	0,26	0,74	0,80	0,70	0,55	0,08	0,39
2	achillis	0	2,26	2,50	2,13	1,40	2,06	2,33	2,01	1,32	1,90	1,79	1,67	0,98	2,32	2,39	2,08	1,25	0,39	0,35	0,03	0,07	0,06	0,07	1,09	0,45	0,25	0,72	0,72	0,76	0,53	0,07	0,39
3	achillis	0	2,13	2,50	2,10	1,38	2,16	2,39	2,05	1,30	2,05	1,89	1,69	1,03	2,47	2,49	2,12	1,25	0,37	0,34	0,04	0,07	0,07	0,06	1,13	0,44	0,26	0,74	0,75	0,82	0,53	0,08	0,36
4	achillis	0	2,23	2,45	2,27	1,46	2,54	2,49	2,15	1,32	2,08	2	1,77	1,01	2,47	2,47	2,20	1,30	0,37	0,34	0,03	0,07	0,08	0,07	1,06	0,44	0,23	0,73	0,80	0,73	0,57	0,06	0,38
5	achillis	0	2,10	2,54	2,25	1,48	2,19	2,29	2,09	1,36	1,97	1,70	1,68	0,95	2,40	2,49	2,15	1,30	0,39	0,34	0,03	0,05	0,05	0,07	1,10	0,40	0,23	0,65	0,89	0,70	0,53	0,07	0,32
6	achillis	0	2,25	2,62	2,37	1,42	2,31	2,45	2,25	1,34	1,99	1,91	1,89	1,02	2,53	2,51	2,32	1,33	0,47	0,42	0,04	0,08	0,06	0,07	1,09	0,45	0,26	0,69	0,83	0,75	0,59	0,07	0,38
7	achillis	0	2,25	2,62	2,37	1,42	2,31	2,45	2,25	1,34	1,99	1,91	1,89	1,02	2,53	2,51	2,32	1,33	0,47	0,42	0,04	0,08	0,06	0,07	1,09	0,45	0,26	0,69	0,83	0,75	0,59	0,07	0,38
8	achillis	0	2,30	2,60	2,40	1,36	2,21	2,48	2,22	1,38	1,72	1,90	1,85	0,96	2,29	2,45	2,20	1,33	0,45	0,40	0,03	0,07	0,07	0,09	1,07	0,41	0,26	0,73	0,74	0,74	0,60	0,08	0,40
9	bolognai	0	1,78	2,16	1,92	0,97	1,83	1,82	1,78	1,12	1,56	1,35	1,41	0,85	1,93	1,97	1,87	1,04	0,41	0,37	0,03	0,03	0,03	0,03	1,11	0,35	0,21	0,73	0,80	0,70	0,51	0,06	0,33
10	bolognai	0	1,94	2,26	1,94	1,23	1,85	2,07	1,88	1,17	1,55	1,56	1,53	0,93	2,02	1,96	1,90	1,12	0,42	0,38	0,02	0,04	0,04	0,04	1,15	0,32	0,20	0,78	0,74	0,72	0,50	0,07	0,36
11	bolognai	0	1,75	1,94	1,73	1,12	1,70	1,84	1,60	1,05	1,43	1,42	1,29	0,80	1,75	1,89	1,54	1	0,39	0,34	0,02	0,03	0,03	0,03	1,03	0,33	0,20	0,69	0,75	0,72	0,53	0,07	0,32
12	bolognai	0	2,04	2,19	1,93	1,31	1,79	2,02	1,86	1,14	1,56	1,51	1,43	0,91	1,96	2,02	1,81	1,13	0,41	0,37	0,02	0,04	0,03	0,04	1,03	0,33	0,22	0,72	0,81	0,77	0,55	0,06	0,37
